Category,Subcategory,Generic drug / agent,Common routes
Medical gases / inhaled anesthetics,,Sevoflurane,Inhaled
Medical gases / inhaled anesthetics,,Desflurane,Inhaled
Medical gases / inhaled anesthetics,,Isoflurane,Inhaled
Intravenous hypnotics / general anesthetics,Induction/maintenance,Propofol,IV
Intravenous hypnotics / general anesthetics,Induction/maintenance,Fospropofol,IV
Intravenous hypnotics / general anesthetics,Induction/maintenance,Etomidate,IV
Intravenous hypnotics / general anesthetics,Induction/maintenance,Ketamine,IV
Intravenous hypnotics / general anesthetics,Induction/maintenance,Esketamine,IV
Intravenous hypnotics / general anesthetics,Induction/maintenance,Thiopental / Thiopentone,IV
Intravenous hypnotics / general anesthetics,Induction/maintenance,Methohexital,IV
Intravenous hypnotics / general anesthetics,Induction/maintenance,Thiamylal,IV
Intravenous hypnotics / general anesthetics,Induction/maintenance,Pentobarbital,IV
Sedatives / anxiolytics / alpha-2 agonists,Sedation/anxiolysis,Midazolam,"IV, PO, IN, IM depending on drug"
Sedatives / anxiolytics / alpha-2 agonists,Sedation/anxiolysis,Diazepam,"IV, PO, IN, IM depending on drug"
Sedatives / anxiolytics / alpha-2 agonists,Sedation/anxiolysis,Lorazepam,"IV, PO, IN, IM depending on drug"
Sedatives / anxiolytics / alpha-2 agonists,Sedation/anxiolysis,Remimazolam,"IV, PO, IN, IM depending on drug"
Sedatives / anxiolytics / alpha-2 agonists,Sedation/anxiolysis,Dexmedetomidine,"IV, PO, IN, IM depending on drug"
Sedatives / anxiolytics / alpha-2 agonists,Sedation/anxiolysis,Clonidine,"IV, PO, IN, IM depending on drug"
Sedatives / anxiolytics / alpha-2 agonists,Sedation/anxiolysis,Droperidol,"IV, PO, IN, IM depending on drug"
Sedatives / anxiolytics / alpha-2 agonists,Sedation/anxiolysis,Haloperidol,"IV, PO, IN, IM depending on drug"
Sedatives / anxiolytics / alpha-2 agonists,Sedation/anxiolysis,Promethazine,"IV, PO, IN, IM depending on drug"
Opioid analgesics,Analgesia,Fentanyl,"IV, neuraxial, epidural, IM, PO depending on drug"
Opioid analgesics,Analgesia,Sufentanil,"IV, neuraxial, epidural, IM, PO depending on drug"
Opioid analgesics,Analgesia,Remifentanil,"IV, neuraxial, epidural, IM, PO depending on drug"
Opioid analgesics,Analgesia,Alfentanil,"IV, neuraxial, epidural, IM, PO depending on drug"
Opioid analgesics,Analgesia,Morphine,"IV, neuraxial, epidural, IM, PO depending on drug"
Opioid analgesics,Analgesia,Hydromorphone,"IV, neuraxial, epidural, IM, PO depending on drug"
Opioid analgesics,Analgesia,Oxycodone,"IV, neuraxial, epidural, IM, PO depending on drug"
Opioid analgesics,Analgesia,Methadone,"IV, neuraxial, epidural, IM, PO depending on drug"
Opioid analgesics,Analgesia,Pethidine / Meperidine,"IV, neuraxial, epidural, IM, PO depending on drug"
Opioid analgesics,Analgesia,Tramadol,"IV, neuraxial, epidural, IM, PO depending on drug"
Opioid analgesics,Analgesia,Tapentadol,"IV, neuraxial, epidural, IM, PO depending on drug"
Opioid analgesics,Analgesia,Nalbuphine,"IV, neuraxial, epidural, IM, PO depending on drug"
Opioid analgesics,Analgesia,Butorphanol,"IV, neuraxial, epidural, IM, PO depending on drug"
Opioid analgesics,Analgesia,Buprenorphine,"IV, neuraxial, epidural, IM, PO depending on drug"
Opioid analgesics,Analgesia,Piritramide,"IV, neuraxial, epidural, IM, PO depending on drug"
Opioid analgesics,Analgesia,Diamorphine,"IV, neuraxial, epidural, IM, PO depending on drug"
Opioid analgesics,Analgesia,Codeine,"IV, neuraxial, epidural, IM, PO depending on drug"
Opioid analgesics,Analgesia,Levorphanol,"IV, neuraxial, epidural, IM, PO depending on drug"
Non-opioid analgesics / analgesic adjuncts,Non-opioid analgesia,Paracetamol / Acetaminophen,"IV, PO, regional depending on drug"
Non-opioid analgesics / analgesic adjuncts,Non-opioid analgesia,Metamizole / Dipyrone,"IV, PO, regional depending on drug"
Non-opioid analgesics / analgesic adjuncts,Non-opioid analgesia,Ketorolac,"IV, PO, regional depending on drug"
Non-opioid analgesics / analgesic adjuncts,Non-opioid analgesia,Diclofenac,"IV, PO, regional depending on drug"
Non-opioid analgesics / analgesic adjuncts,Non-opioid analgesia,Ibuprofen,"IV, PO, regional depending on drug"
Non-opioid analgesics / analgesic adjuncts,Non-opioid analgesia,Dexketoprofen,"IV, PO, regional depending on drug"
Non-opioid analgesics / analgesic adjuncts,Non-opioid analgesia,Ketoprofen,"IV, PO, regional depending on drug"
Non-opioid analgesics / analgesic adjuncts,Non-opioid analgesia,Parecoxib,"IV, PO, regional depending on drug"
Non-opioid analgesics / analgesic adjuncts,Non-opioid analgesia,Celecoxib,"IV, PO, regional depending on drug"
Non-opioid analgesics / analgesic adjuncts,Non-opioid analgesia,Etoricoxib,"IV, PO, regional depending on drug"
Non-opioid analgesics / analgesic adjuncts,Non-opioid analgesia,Lornoxicam,"IV, PO, regional depending on drug"
Non-opioid analgesics / analgesic adjuncts,Non-opioid analgesia,Tenoxicam,"IV, PO, regional depending on drug"
Non-opioid analgesics / analgesic adjuncts,Non-opioid analgesia,Meloxicam,"IV, PO, regional depending on drug"
Non-opioid analgesics / analgesic adjuncts,Non-opioid analgesia,Nefopam,"IV, PO, regional depending on drug"
Non-opioid analgesics / analgesic adjuncts,Non-opioid analgesia,Magnesium sulfate,"IV, PO, regional depending on drug"
Non-opioid analgesics / analgesic adjuncts,Non-opioid analgesia,IV lidocaine,"IV, PO, regional depending on drug"
Non-opioid analgesics / analgesic adjuncts,Non-opioid analgesia,Low-dose ketamine,"IV, PO, regional depending on drug"
Non-opioid analgesics / analgesic adjuncts,Non-opioid analgesia,Dexmedetomidine,"IV, PO, regional depending on drug"
Non-opioid analgesics / analgesic adjuncts,Non-opioid analgesia,Clonidine,"IV, PO, regional depending on drug"
Non-opioid analgesics / analgesic adjuncts,Non-opioid analgesia,Gabapentin,"IV, PO, regional depending on drug"
Non-opioid analgesics / analgesic adjuncts,Non-opioid analgesia,Pregabalin,"IV, PO, regional depending on drug"
Neuromuscular blocking drugs,Paralysis,Succinylcholine / Suxamethonium,IV
Neuromuscular blocking drugs,Paralysis,Rocuronium,IV
Neuromuscular blocking drugs,Paralysis,Vecuronium,IV
Neuromuscular blocking drugs,Paralysis,Pancuronium,IV
Neuromuscular blocking drugs,Paralysis,Pipecuronium,IV
Neuromuscular blocking drugs,Paralysis,Cisatracurium,IV
Neuromuscular blocking drugs,Paralysis,Atracurium,IV
Neuromuscular blocking drugs,Paralysis,Mivacurium,IV
Neuromuscular blocking drugs,Paralysis,Doxacurium,IV
Neuromuscular reversal / anticholinergics,Reversal/autonomic,Sugammadex,"IV, IM, transdermal depending on drug"
Neuromuscular reversal / anticholinergics,Reversal/autonomic,Neostigmine,"IV, IM, transdermal depending on drug"
Neuromuscular reversal / anticholinergics,Reversal/autonomic,Edrophonium,"IV, IM, transdermal depending on drug"
Neuromuscular reversal / anticholinergics,Reversal/autonomic,Pyridostigmine,"IV, IM, transdermal depending on drug"
Neuromuscular reversal / anticholinergics,Reversal/autonomic,Glycopyrrolate,"IV, IM, transdermal depending on drug"
Neuromuscular reversal / anticholinergics,Reversal/autonomic,Atropine,"IV, IM, transdermal depending on drug"
Neuromuscular reversal / anticholinergics,Reversal/autonomic,Scopolamine / Hyoscine,"IV, IM, transdermal depending on drug"
Neuromuscular reversal / anticholinergics,Reversal/autonomic,Hyoscine butylbromide,"IV, IM, transdermal depending on drug"
Local/regional anesthetics,Local/regional anesthesia,Lidocaine / Lignocaine,"Regional, neuraxial, infiltration, topical, IV depending on drug"
Local/regional anesthetics,Local/regional anesthesia,Bupivacaine,"Regional, neuraxial, infiltration, topical, IV depending on drug"
Local/regional anesthetics,Local/regional anesthesia,Levobupivacaine,"Regional, neuraxial, infiltration, topical, IV depending on drug"
Local/regional anesthetics,Local/regional anesthesia,Ropivacaine,"Regional, neuraxial, infiltration, topical, IV depending on drug"
Local/regional anesthetics,Local/regional anesthesia,Mepivacaine,"Regional, neuraxial, infiltration, topical, IV depending on drug"
Local/regional anesthetics,Local/regional anesthesia,Prilocaine,"Regional, neuraxial, infiltration, topical, IV depending on drug"
Local/regional anesthetics,Local/regional anesthesia,Chloroprocaine,"Regional, neuraxial, infiltration, topical, IV depending on drug"
Local/regional anesthetics,Local/regional anesthesia,Articaine,"Regional, neuraxial, infiltration, topical, IV depending on drug"
Local/regional anesthetics,Local/regional anesthesia,Procaine,"Regional, neuraxial, infiltration, topical, IV depending on drug"
Local/regional anesthetics,Local/regional anesthesia,Tetracaine / Amethocaine,"Regional, neuraxial, infiltration, topical, IV depending on drug"
Local/regional anesthetics,Local/regional anesthesia,Cocaine,"Regional, neuraxial, infiltration, topical, IV depending on drug"
Local/regional anesthetics,Local/regional anesthesia,Benzocaine,"Regional, neuraxial, infiltration, topical, IV depending on drug"
Local/regional anesthetics,Local/regional anesthesia,Etidocaine,"Regional, neuraxial, infiltration, topical, IV depending on drug"
Local/regional anesthetics,Local/regional anesthesia,Dibucaine / Cinchocaine,"Regional, neuraxial, infiltration, topical, IV depending on drug"
Local/regional anesthetics,Local/regional anesthesia,Oxybuprocaine / Benoxinate,Topical
Regional anesthesia adjuvants,Block/neuraxial adjunct,Epinephrine / Adrenaline,"Perineural, epidural, intrathecal, infiltration depending on local practice and drug"
Regional anesthesia adjuvants,Block/neuraxial adjunct,Clonidine,"Perineural, epidural, intrathecal, infiltration depending on local practice and drug"
Regional anesthesia adjuvants,Block/neuraxial adjunct,Dexmedetomidine,"Perineural, epidural, intrathecal, infiltration depending on local practice and drug"
Regional anesthesia adjuvants,Block/neuraxial adjunct,Dexamethasone,"Perineural, epidural, intrathecal, infiltration depending on local practice and drug"
Regional anesthesia adjuvants,Block/neuraxial adjunct,Sodium bicarbonate,"Perineural, epidural, intrathecal, infiltration depending on local practice and drug"
Regional anesthesia adjuvants,Block/neuraxial adjunct,Hyaluronidase,"Perineural, epidural, intrathecal, infiltration depending on local practice and drug"
Regional anesthesia adjuvants,Block/neuraxial adjunct,Buprenorphine,"Perineural, epidural, intrathecal, infiltration depending on local practice and drug"
Regional anesthesia adjuvants,Block/neuraxial adjunct,Morphine,"Perineural, epidural, intrathecal, infiltration depending on local practice and drug"
Regional anesthesia adjuvants,Block/neuraxial adjunct,Fentanyl,"Perineural, epidural, intrathecal, infiltration depending on local practice and drug"
Regional anesthesia adjuvants,Block/neuraxial adjunct,Sufentanil,"Perineural, epidural, intrathecal, infiltration depending on local practice and drug"
Regional anesthesia adjuvants,Block/neuraxial adjunct,Diamorphine,"Perineural, epidural, intrathecal, infiltration depending on local practice and drug"
Regional anesthesia adjuvants,Block/neuraxial adjunct,Ketamine,"Perineural, epidural, intrathecal, infiltration depending on local practice and drug"
Regional anesthesia adjuvants,Block/neuraxial adjunct,Magnesium sulfate,"Perineural, epidural, intrathecal, infiltration depending on local practice and drug"
Regional anesthesia adjuvants,Block/neuraxial adjunct,Midazolam,"Perineural, epidural, intrathecal, infiltration depending on local practice and drug"
Vasoactive drugs - vasopressors / vasoconstrictors,Vasopressor,Phenylephrine,"IV bolus/infusion, IM/SC/PO depending on drug"
Vasoactive drugs - vasopressors / vasoconstrictors,Vasopressor,Norepinephrine / Noradrenaline,"IV bolus/infusion, IM/SC/PO depending on drug"
Vasoactive drugs - vasopressors / vasoconstrictors,Vasopressor,Epinephrine / Adrenaline,"IV bolus/infusion, IM/SC/PO depending on drug"
Vasoactive drugs - vasopressors / vasoconstrictors,Vasopressor,Ephedrine,"IV bolus/infusion, IM/SC/PO depending on drug"
Vasoactive drugs - vasopressors / vasoconstrictors,Vasopressor,Metaraminol,"IV bolus/infusion, IM/SC/PO depending on drug"
Vasoactive drugs - vasopressors / vasoconstrictors,Vasopressor,Mephentermine,"IV bolus/infusion, IM/SC/PO depending on drug"
Vasoactive drugs - vasopressors / vasoconstrictors,Vasopressor,Dopamine,"IV bolus/infusion, IM/SC/PO depending on drug"
Vasoactive drugs - vasopressors / vasoconstrictors,Vasopressor,Vasopressin,"IV bolus/infusion, IM/SC/PO depending on drug"
Vasoactive drugs - vasopressors / vasoconstrictors,Vasopressor,Terlipressin,"IV bolus/infusion, IM/SC/PO depending on drug"
Vasoactive drugs - vasopressors / vasoconstrictors,Vasopressor,Angiotensin II,"IV bolus/infusion, IM/SC/PO depending on drug"
Vasoactive drugs - vasopressors / vasoconstrictors,Vasopressor,Methylene blue,"IV bolus/infusion, IM/SC/PO depending on drug"
Vasoactive drugs - vasopressors / vasoconstrictors,Vasopressor,Hydroxocobalamin,"IV bolus/infusion, IM/SC/PO depending on drug"
Vasoactive drugs - vasopressors / vasoconstrictors,Vasopressor,Midodrine,"IV bolus/infusion, IM/SC/PO depending on drug"
Vasoactive drugs - vasopressors / vasoconstrictors,Vasopressor,Etilefrine,"IV bolus/infusion, IM/SC/PO depending on drug"
Vasoactive drugs - inotropes / inodilators,Inotrope/inodilator,Dobutamine,IV
Vasoactive drugs - inotropes / inodilators,Inotrope/inodilator,Milrinone,IV
Vasoactive drugs - inotropes / inodilators,Inotrope/inodilator,Levosimendan,IV
Vasoactive drugs - inotropes / inodilators,Inotrope/inodilator,Dopamine,IV
Vasoactive drugs - inotropes / inodilators,Inotrope/inodilator,Epinephrine / Adrenaline,IV
Vasoactive drugs - inotropes / inodilators,Inotrope/inodilator,Norepinephrine / Noradrenaline,IV
Vasoactive drugs - inotropes / inodilators,Inotrope/inodilator,Isoproterenol / Isoprenaline,IV
Vasoactive drugs - inotropes / inodilators,Inotrope/inodilator,Dopexamine,IV
Vasoactive drugs - inotropes / inodilators,Inotrope/inodilator,Enoximone,IV
Vasoactive drugs - inotropes / inodilators,Inotrope/inodilator,Inamrinone / Amrinone,IV
Vasoactive drugs - inotropes / inodilators,Inotrope/inodilator,Glucagon,IV
Vasoactive drugs - inotropes / inodilators,Inotrope/inodilator,Calcium chloride,IV
Vasoactive drugs - inotropes / inodilators,Inotrope/inodilator,Calcium gluconate,IV
Vasoactive drugs - inotropes / inodilators,Inotrope/inodilator,Digoxin,IV
Vasoactive drugs - antihypertensives / vasodilators,Vasodilator/antihypertensive,Nitroglycerin / Glyceryl trinitrate,"IV, inhaled, intrapulmonary, PO depending on drug"
Vasoactive drugs - antihypertensives / vasodilators,Vasodilator/antihypertensive,Sodium nitroprusside,"IV, inhaled, intrapulmonary, PO depending on drug"
Vasoactive drugs - antihypertensives / vasodilators,Vasodilator/antihypertensive,Nicardipine,"IV, inhaled, intrapulmonary, PO depending on drug"
Vasoactive drugs - antihypertensives / vasodilators,Vasodilator/antihypertensive,Clevidipine,"IV, inhaled, intrapulmonary, PO depending on drug"
Vasoactive drugs - antihypertensives / vasodilators,Vasodilator/antihypertensive,Esmolol,"IV, inhaled, intrapulmonary, PO depending on drug"
Vasoactive drugs - antihypertensives / vasodilators,Vasodilator/antihypertensive,Labetalol,"IV, inhaled, intrapulmonary, PO depending on drug"
Vasoactive drugs - antihypertensives / vasodilators,Vasodilator/antihypertensive,Metoprolol,"IV, inhaled, intrapulmonary, PO depending on drug"
Vasoactive drugs - antihypertensives / vasodilators,Vasodilator/antihypertensive,Atenolol,"IV, inhaled, intrapulmonary, PO depending on drug"
Vasoactive drugs - antihypertensives / vasodilators,Vasodilator/antihypertensive,Propranolol,"IV, inhaled, intrapulmonary, PO depending on drug"
Vasoactive drugs - antihypertensives / vasodilators,Vasodilator/antihypertensive,Hydralazine,"IV, inhaled, intrapulmonary, PO depending on drug"
Vasoactive drugs - antihypertensives / vasodilators,Vasodilator/antihypertensive,Urapidil,"IV, inhaled, intrapulmonary, PO depending on drug"
Vasoactive drugs - antihypertensives / vasodilators,Vasodilator/antihypertensive,Phentolamine,"IV, inhaled, intrapulmonary, PO depending on drug"
Vasoactive drugs - antihypertensives / vasodilators,Vasodilator/antihypertensive,Nitric oxide,"IV, inhaled, intrapulmonary, PO depending on drug"
Vasoactive drugs - antihypertensives / vasodilators,Vasodilator/antihypertensive,Epoprostenol,"IV, inhaled, intrapulmonary, PO depending on drug"
Vasoactive drugs - antihypertensives / vasodilators,Vasodilator/antihypertensive,Iloprost,"IV, inhaled, intrapulmonary, PO depending on drug"
Vasoactive drugs - antihypertensives / vasodilators,Vasodilator/antihypertensive,Alprostadil,"IV, inhaled, intrapulmonary, PO depending on drug"
Vasoactive drugs - antihypertensives / vasodilators,Vasodilator/antihypertensive,Sildenafil,"IV, inhaled, intrapulmonary, PO depending on drug"
Vasoactive drugs - antihypertensives / vasodilators,Vasodilator/antihypertensive,Adenosine,"IV, inhaled, intrapulmonary, PO depending on drug"
Vasoactive drugs - antihypertensives / vasodilators,Vasodilator/antihypertensive,Magnesium sulfate,"IV, inhaled, intrapulmonary, PO depending on drug"
Vasoactive drugs - antihypertensives / vasodilators,Vasodilator/antihypertensive,Fenoldopam,"IV, inhaled, intrapulmonary, PO depending on drug"
Antiarrhythmics / cardiac rate control,Rhythm/rate,Amiodarone,IV
Antiarrhythmics / cardiac rate control,Rhythm/rate,Lidocaine / Lignocaine,IV
Antiarrhythmics / cardiac rate control,Rhythm/rate,Procainamide,IV
Antiarrhythmics / cardiac rate control,Rhythm/rate,Adenosine,IV
Antiarrhythmics / cardiac rate control,Rhythm/rate,Magnesium sulfate,IV
Antiarrhythmics / cardiac rate control,Rhythm/rate,Esmolol,IV
Antiarrhythmics / cardiac rate control,Rhythm/rate,Metoprolol,IV
Antiarrhythmics / cardiac rate control,Rhythm/rate,Labetalol,IV
Antiarrhythmics / cardiac rate control,Rhythm/rate,Diltiazem,IV
Antiarrhythmics / cardiac rate control,Rhythm/rate,Verapamil,IV
Antiarrhythmics / cardiac rate control,Rhythm/rate,Atropine,IV
Antiarrhythmics / cardiac rate control,Rhythm/rate,Glycopyrrolate,IV
Antiarrhythmics / cardiac rate control,Rhythm/rate,Isoproterenol / Isoprenaline,IV
Antiarrhythmics / cardiac rate control,Rhythm/rate,Calcium chloride,IV
Antiarrhythmics / cardiac rate control,Rhythm/rate,Calcium gluconate,IV
Antiarrhythmics / cardiac rate control,Rhythm/rate,Digoxin,IV
Antiarrhythmics / cardiac rate control,Rhythm/rate,Ibutilide,IV
Antiarrhythmics / cardiac rate control,Rhythm/rate,Sotalol,IV
Antiemetics / prokinetics,PONV/prokinetic,Ondansetron,"IV, PO, transdermal depending on drug"
Antiemetics / prokinetics,PONV/prokinetic,Granisetron,"IV, PO, transdermal depending on drug"
Antiemetics / prokinetics,PONV/prokinetic,Palonosetron,"IV, PO, transdermal depending on drug"
Antiemetics / prokinetics,PONV/prokinetic,Dolasetron,"IV, PO, transdermal depending on drug"
Antiemetics / prokinetics,PONV/prokinetic,Tropisetron,"IV, PO, transdermal depending on drug"
Antiemetics / prokinetics,PONV/prokinetic,Dexamethasone,"IV, PO, transdermal depending on drug"
Antiemetics / prokinetics,PONV/prokinetic,Droperidol,"IV, PO, transdermal depending on drug"
Antiemetics / prokinetics,PONV/prokinetic,Haloperidol,"IV, PO, transdermal depending on drug"
Antiemetics / prokinetics,PONV/prokinetic,Metoclopramide,"IV, PO, transdermal depending on drug"
Antiemetics / prokinetics,PONV/prokinetic,Domperidone,"IV, PO, transdermal depending on drug"
Antiemetics / prokinetics,PONV/prokinetic,Prochlorperazine,"IV, PO, transdermal depending on drug"
Antiemetics / prokinetics,PONV/prokinetic,Promethazine,"IV, PO, transdermal depending on drug"
Antiemetics / prokinetics,PONV/prokinetic,Cyclizine,"IV, PO, transdermal depending on drug"
Antiemetics / prokinetics,PONV/prokinetic,Dimenhydrinate,"IV, PO, transdermal depending on drug"
Antiemetics / prokinetics,PONV/prokinetic,Diphenhydramine,"IV, PO, transdermal depending on drug"
Antiemetics / prokinetics,PONV/prokinetic,Scopolamine / Hyoscine,"IV, PO, transdermal depending on drug"
Antiemetics / prokinetics,PONV/prokinetic,Aprepitant,"IV, PO, transdermal depending on drug"
Antiemetics / prokinetics,PONV/prokinetic,Fosaprepitant,"IV, PO, transdermal depending on drug"
Antiemetics / prokinetics,PONV/prokinetic,Amisulpride,"IV, PO, transdermal depending on drug"
Antiemetics / prokinetics,PONV/prokinetic,Propofol,"IV, PO, transdermal depending on drug"
Antiemetics / prokinetics,PONV/prokinetic,Perphenazine,"IV, PO, transdermal depending on drug"
Acid suppression / aspiration prophylaxis / GI adjuncts,GI/aspiration,Sodium citrate,"IV, PO, enteral"
Acid suppression / aspiration prophylaxis / GI adjuncts,GI/aspiration,Pantoprazole,"IV, PO, enteral"
Acid suppression / aspiration prophylaxis / GI adjuncts,GI/aspiration,Omeprazole,"IV, PO, enteral"
Acid suppression / aspiration prophylaxis / GI adjuncts,GI/aspiration,Esomeprazole,"IV, PO, enteral"
Acid suppression / aspiration prophylaxis / GI adjuncts,GI/aspiration,Lansoprazole,"IV, PO, enteral"
Acid suppression / aspiration prophylaxis / GI adjuncts,GI/aspiration,Rabeprazole,"IV, PO, enteral"
Acid suppression / aspiration prophylaxis / GI adjuncts,GI/aspiration,Famotidine,"IV, PO, enteral"
Acid suppression / aspiration prophylaxis / GI adjuncts,GI/aspiration,Ranitidine,"IV, PO, enteral"
Acid suppression / aspiration prophylaxis / GI adjuncts,GI/aspiration,Cimetidine,"IV, PO, enteral"
Acid suppression / aspiration prophylaxis / GI adjuncts,GI/aspiration,Nizatidine,"IV, PO, enteral"
Acid suppression / aspiration prophylaxis / GI adjuncts,GI/aspiration,Metoclopramide,"IV, PO, enteral"
Acid suppression / aspiration prophylaxis / GI adjuncts,GI/aspiration,Ondansetron,"IV, PO, enteral"
Acid suppression / aspiration prophylaxis / GI adjuncts,GI/aspiration,Glycopyrrolate,"IV, PO, enteral"
Acid suppression / aspiration prophylaxis / GI adjuncts,GI/aspiration,Atropine,"IV, PO, enteral"
Acid suppression / aspiration prophylaxis / GI adjuncts,GI/aspiration,Hyoscine butylbromide,"IV, PO, enteral"
Acid suppression / aspiration prophylaxis / GI adjuncts,GI/aspiration,Octreotide,"IV, PO, enteral"
Acid suppression / aspiration prophylaxis / GI adjuncts,GI/aspiration,Neostigmine,"IV, PO, enteral"
Acid suppression / aspiration prophylaxis / GI adjuncts,GI/aspiration,Sugammadex,"IV, PO, enteral"
Acid suppression / aspiration prophylaxis / GI adjuncts,GI/aspiration,Alvimopan,"IV, PO, enteral"
Acid suppression / aspiration prophylaxis / GI adjuncts,GI/aspiration,Naloxegol,"IV, PO, enteral"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Cefazolin,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Cefuroxime,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Ceftriaxone,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Cefotaxime,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Cefoxitin,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Cefotetan,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Ceftazidime,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Cefepime,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Ceftaroline,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Ampicillin,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Amoxicillin-clavulanate,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Ampicillin-sulbactam,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Piperacillin-tazobactam,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Benzylpenicillin / Penicillin G,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Flucloxacillin,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Oxacillin,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Nafcillin,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Clindamycin,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Vancomycin,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Teicoplanin,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Gentamicin,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Tobramycin,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Amikacin,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Metronidazole,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Ciprofloxacin,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Levofloxacin,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Moxifloxacin,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Ertapenem,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Meropenem,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Imipenem-cilastatin,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Aztreonam,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Linezolid,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Daptomycin,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Tigecycline,"IV, topical, irrigation depending on drug"
